tipo,tempoTotalMs,arquivosProcessados,itensDetectados,itensCorrigidos,registradoEm
Extracao de Legendas (ASS),31622,50,50,50,2026-07-26T12:22:11.661472500Z
Reforço de Terminologia (ensaio),6398,47,3,0,2026-07-28T00:22:50.045431700Z
Reforço de Terminologia,4621,47,3,3,2026-07-28T00:23:14.607734900Z
Reforço de Terminologia (ensaio),4668,50,4,0,2026-07-28T00:23:46.811495100Z
Reforço de Terminologia,4764,50,4,4,2026-07-28T00:24:09.165700800Z
Reforço de Terminologia (ensaio),886,23,0,0,2026-07-28T16:37:42.356250100Z
Limpeza de Cache,470,23,26,3,2026-07-28T16:41:53.207588200Z
Correção Google (cache),23085,23,26,14,2026-07-28T16:42:42.569350500Z
Revisão Gramatical (cache LLM),11386,23,6,3,2026-07-28T16:43:18.839971800Z
Reforço de Terminologia (ensaio),878,23,0,0,2026-07-28T16:44:15.747026900Z
Limpeza de Cache,510,23,13,1,2026-07-28T16:45:19.000227200Z
Limpeza de Cache,1472,50,52,8,2026-07-28T17:02:03.881454500Z
Reforço de Terminologia (ensaio),5149,50,0,0,2026-07-28T17:02:24.553673900Z
Reforço de Terminologia (ensaio),1,0,0,0,2026-07-28T17:03:07.858042300Z
Limpeza de Cache,1345,50,52,0,2026-07-28T17:03:22.504781100Z
Correção Google (cache),46602,50,52,39,2026-07-28T17:04:12.903597900Z
Reforço de Terminologia (ensaio),5221,50,0,0,2026-07-28T17:05:39.599105100Z
Revisão Legendas (.ass Google),286146,50,1853,1024,2026-07-28T17:11:34.216962300Z
Reforço de Terminologia (ensaio),1265,13,0,0,2026-07-28T21:34:51.998675700Z
Reforço de Terminologia (ensaio),1,0,0,0,2026-07-28T21:35:01.163083600Z
Limpeza de Cache,1338,13,20,0,2026-07-28T21:35:07.022417700Z
Correção Google (cache),15782,13,20,12,2026-07-28T21:35:28.836364900Z
Revisão Gramatical (cache LLM),6302,13,3,2,2026-07-28T21:36:16.121755700Z
Reforço de Terminologia (ensaio),1238,13,0,0,2026-07-28T21:36:54.292601600Z
Reforço de Terminologia (ensaio),0,0,0,0,2026-07-28T21:36:57.700925300Z
Revisão Legendas (.ass Google),31565,13,758,38,2026-07-28T21:38:20.550621800Z
Revisão Concordância (.ass LLM),7950,13,720,0,2026-07-28T21:38:37.453847300Z
Extracao de Legendas (ASS),11033,1,2,1,2026-07-29T12:29:52.814446100Z
Extracao de Legendas (ASS),10178,22,44,22,2026-07-29T12:46:57.748717800Z
Auditoria de Conteudo de Legendas,30,1,9,0,2026-07-29T15:11:01.657824500Z
Auditoria de Conteudo de Legendas,22,1,9,0,2026-07-29T15:11:01.800826100Z
Auditoria de Conteudo de Legendas,17,1,9,0,2026-07-29T15:11:01.891184600Z
Auditoria de Conteudo de Legendas,24,1,9,0,2026-07-29T15:11:02.003587800Z
Auditoria de Conteudo de Legendas,30,1,9,0,2026-07-29T15:11:02.106262300Z
Auditoria de Conteudo de Legendas,20,1,9,0,2026-07-29T15:11:02.235498800Z
Auditoria de Conteudo de Legendas,19,1,9,0,2026-07-29T15:11:02.340686300Z
Auditoria de Conteudo de Legendas,22,1,9,0,2026-07-29T15:11:02.438688100Z
Auditoria de Conteudo de Legendas,17,1,1,0,2026-07-29T15:11:02.528885400Z
Auditoria de Conteudo de Legendas,18,1,9,0,2026-07-29T15:11:02.622412600Z
Auditoria de Conteudo de Legendas,18,1,9,0,2026-07-29T15:11:02.712779800Z
Auditoria de Conteudo de Legendas,28,1,9,0,2026-07-29T15:11:02.828306600Z
Auditoria de Conteudo de Legendas,22,1,1,0,2026-07-29T15:11:02.972093600Z
Auditoria de Conteudo de Legendas,24,1,1,0,2026-07-29T15:11:03.068688100Z
Auditoria de Conteudo de Legendas,14,1,1,0,2026-07-29T15:11:03.162248300Z
Auditoria de Conteudo de Legendas,21,1,2,0,2026-07-29T15:11:03.256246800Z
Auditoria de Conteudo de Legendas,21,1,1,0,2026-07-29T15:11:03.356246600Z
Auditoria de Conteudo de Legendas,12,1,1,0,2026-07-29T15:11:03.438544300Z
Auditoria de Conteudo de Legendas,14,1,1,0,2026-07-29T15:11:03.524511200Z
Auditoria de Conteudo de Legendas,20,1,1,0,2026-07-29T15:11:03.659657700Z
Auditoria de Conteudo de Legendas,14,1,1,0,2026-07-29T15:11:03.755657200Z
Auditoria de Conteudo de Legendas,15,1,0,0,2026-07-29T15:11:03.839178500Z
Auditoria de Conteudo de Legendas,17,1,9,0,2026-07-29T15:11:50.848398Z
Achatar Estilos Decorativos,49,1,1,174,2026-07-29T15:21:44.493766900Z
Achatar Estilos Decorativos,30,1,1,174,2026-07-29T16:00:53.127550900Z
Achatar Estilos Decorativos,31,1,1,36,2026-07-29T16:04:20.001983700Z
Extracao de Legendas (ASS),2300,1,1,1,2026-07-30T12:19:24.585227800Z
Extracao de Legendas (ASS),1041,1,1,1,2026-07-30T14:54:11.811110800Z
Auditoria de Conteudo de Legendas,59,1,41,0,2026-07-30T14:54:46.423790600Z
Analise de Midia,,1,1,0,2026-07-30T14:55:07.561476400Z
Reforço de Terminologia (ensaio),16944,172,186,0,2026-07-31T00:03:21.647252700Z
Limpeza de Cache,15321,172,244,34,2026-07-31T00:04:52.585545300Z
Limpeza de Cache,1318,23,17,0,2026-07-31T00:20:17.997710400Z
Correção Google (cache),14422,23,17,5,2026-07-31T00:20:37.630173200Z
Revisão Gramatical (cache LLM),8183,23,3,0,2026-07-31T00:20:58.816945600Z
Reforço de Terminologia (ensaio),828,23,0,0,2026-07-31T00:21:02.071804500Z
Reforço de Terminologia (ensaio),745,23,0,0,2026-07-31T00:21:59.347293100Z
Reforço de Terminologia (ensaio),944,23,0,0,2026-07-31T00:30:39.541650700Z
Revisão Legendas (.ass Google),9089,23,590,0,2026-07-31T00:31:47.103926300Z
Revisão Concordância (.ass LLM),20925,23,590,3,2026-07-31T00:32:13.636949700Z
Revisao de Lore (.ass LLM),5461806,23,6366,4,2026-07-31T02:03:59.099296500Z
Revisão de Concordância,343,23,4,4,2026-07-31T02:16:41.581484900Z
NOVO_KARAOKE,349,23,561,301,2026-07-31T02:18:37.519848900Z
Tradução de Karaokê (LLM),228628,23,210,77,2026-07-31T02:22:43.933680800Z
Extracao de Legendas (ASS),3591,1,2,0,2026-07-31T16:02:23.610166400Z
Analise de Midia,,1,1,0,2026-07-31T16:24:22.317713100Z
Extracao de Legendas (ASS),13101,7,14,7,2026-07-31T16:26:06.807378100Z
Extracao de Legendas (ASS),10556,3,6,3,2026-08-03T00:21:13.888926300Z
Reforço de Terminologia (ensaio),5580,47,26,0,2026-08-04T01:00:09.992626800Z
Reforço de Terminologia (ensaio),6172,47,26,0,2026-08-04T01:03:30.166507100Z
Reforço de Terminologia (ensaio),829,23,0,0,2026-08-04T01:09:15.498688800Z
Tradução de Karaokê (LLM),340899,7,150,35,2026-08-04T01:49:28.277630800Z
NOVO_KARAOKE,464,23,1147,564,2026-08-04T02:25:00.109735200Z
Reforço de Terminologia (ensaio),5172,47,2,0,2026-08-04T10:08:15.275340900Z
Reforço de Terminologia (ensaio),4944,47,2,0,2026-08-04T10:59:17.558891600Z
Extracao de Legendas (ASS),12918,23,97,23,2026-08-05T04:30:29.010884100Z
NOVO_KARAOKE,3440,23,72026,488,2026-08-05T12:38:37.258644100Z
Karaokê Simples,3440,23,44,0,2026-08-05T12:38:37.358936700Z
Extracao de Legendas (ASS),12189,6,12,6,2026-08-06T03:47:57.536925600Z
Extracao de Legendas (ASS),6785,6,6,6,2026-08-06T11:45:03.030622500Z
Auditoria de Conteudo de Legendas,28,1,25,0,2026-08-06T12:17:50.997315200Z
Auditoria de Conteudo de Legendas,15,1,25,0,2026-08-06T12:18:11.055113800Z
Auditoria de Conteudo de Legendas,27,1,25,0,2026-08-06T13:19:47.061873200Z
Auditoria de Conteudo de Legendas,17,1,25,0,2026-08-06T13:23:11.599023900Z
Auditoria de Conteudo de Legendas,42,1,25,0,2026-08-06T13:26:41.346663600Z
Extracao de Legendas (ASS),14953,6,12,6,2026-08-06T17:34:43.002689600Z
Achatar Estilos Decorativos,892,22,22,6517,2026-08-06T18:13:01.143873400Z
Achatar Estilos Decorativos,1408,23,23,13232,2026-08-06T20:00:36.345979900Z
Achatar Estilos Decorativos,29,6,0,0,2026-08-06T20:00:36.448763600Z
Achatar Estilos Decorativos,37,3,0,0,2026-08-06T20:00:36.822978400Z
Achatar Estilos Decorativos,147,22,22,785,2026-08-06T20:00:37.852065500Z
Achatar Estilos Decorativos,16,1,1,58,2026-08-06T20:00:38.652299900Z
Achatar Estilos Decorativos,372,49,49,19495,2026-08-06T20:00:39.914490700Z
Achatar Estilos Decorativos,576,50,50,8760,2026-08-06T20:00:41.025250700Z
Achatar Estilos Decorativos,24,1,0,0,2026-08-06T20:00:41.387429900Z
Achatar Estilos Decorativos,235,23,22,717,2026-08-06T20:00:42.513011600Z
